Source,File,Metric,Avg,Min,Med,Max,P90,P95,Value,Rate,Percentage,Count,Total
Cloud With Content,Stress,http_req_waiting,1.39s,32.17ms,1.24s,6.62s,3.02s,3.55s,,,,,
Cloud With Content,Stress,http_reqs,,,,,,,356227,91.326328/s,,,
Cloud With Content,Stress,iteration_duration,2.39s,1.03s,2.24s,7.62s,4.02s,4.55s,,,,,
Cloud With Content,Stress,iterations,,,,,,,356227,91.326328/s,,,
Cloud With Content,Stress,vus,,1,,500,,,2,,,,
Cloud With Content,Stress,vus_max,,500,,500,,,500,,,,
Cloud Without Content,Baseline,data_received,,,,,,,2.5 MB,,,,
Cloud Without Content,Baseline,data_sent,,,,,,,33 kB,,,,
Cloud Without Content,Baseline,http_req_blocked,1.71ms,0s,0s,227.44ms,0s,0s,,,,,
Cloud Without Content,Baseline,http_req_connecting,444.75µs,0s,0s,19.79ms,0s,0s,,,,,
Cloud Without Content,Baseline,http_req_duration,91.34ms,58.75ms,77.73ms,2.36s,105.97ms,124.69ms,,,,,
Cloud Without Content,Baseline,http_req_failed,,,,,,,,,0.00%,0,335
Cloud Without Content,Baseline,http_req_receiving,1.54ms,0s,818µs,11.74ms,3.91ms,5.15ms,,,,,
Cloud Without Content,Baseline,http_req_sending,131.17µs,0s,0s,2.44ms,336.38µs,374.33µs,,,,,
Cloud Without Content,Baseline,http_req_tls_handshaking,1.13ms,0s,0s,169.19ms,0s,0s,,,,,
Cloud Without Content,Baseline,http_req_waiting,89.66ms,54.99ms,76.04ms,2.35s,104.74ms,124.25ms,,,,,
Cloud Without Content,Baseline,http_reqs,,,,,,,335,2.766028/s,,,
Cloud Without Content,Baseline,iteration_duration,1.09s,1.05s,1.07s,3.58s,1.11s,1.12s,,,,,
Cloud Without Content,Baseline,iterations,,,,,,,335,2.766028/s,,,
Cloud Without Content,Baseline,vus,,1,,9,,,1,,,,
Cloud Without Content,Baseline,vus_max,,10,,10,,,10,,,,
Cloud Without Content,Load,data_received,,,,,,,1.1 GB,,,,
Cloud Without Content,Load,data_sent,,,,,,,13 MB,,,,
Cloud Without Content,Load,http_req_blocked,63.32µs,0s,0s,120ms,0s,0s,,,,,
Cloud Without Content,Load,http_req_connecting,22.6µs,0s,0s,59.36ms,0s,0s,,,,,
Cloud Without Content,Load,http_req_duration,90.44ms,42.87ms,74.01ms,2.35s,121.88ms,194.78ms,,,,,
Cloud Without Content,Load,http_req_failed,,,,,,,,,0.00%,2,151034
Cloud Without Content,Load,http_req_receiving,1.79ms,0s,698.2µs,911.66ms,4.87ms,6.96ms,,,,,
Cloud Without Content,Load,http_req_sending,215.39µs,0s,170.9µs,11.23ms,578.79µs,642.1µs,,,,,
Cloud Without Content,Load,http_req_tls_handshaking,38.98µs,0s,0s,67.42ms,0s,0s,,,,,
Cloud Without Content,Load,http_req_waiting,88.43ms,40.57ms,72.15ms,2.35s,119.58ms,192.26ms,,,,,
Cloud Without Content,Load,http_reqs,,,,,,,151034,71.883129/s,,,
Cloud Without Content,Load,iteration_duration,1.09s,1.04s,1.07s,3.35s,1.12s,1.19s,,,,,
Cloud Without Content,Load,iterations,,,,,,,151034,71.883129/s,,,
Cloud Without Content,Load,vus,,1,,199,,,26,,,,
Cloud Without Content,Load,vus_max,,200,,200,,,200,,,,
Cloud Without Content,Soak,data_received,,,,,,,24 GB,,,,
Cloud Without Content,Soak,data_sent,,,,,,,265 MB,,,,
Cloud Without Content,Soak,http_req_blocked,7.65µs,0s,0s,247.87ms,0s,0s,,,,,
Cloud Without Content,Soak,http_req_connecting,2.33µs,0s,0s,101.59ms,0s,0s,,,,,
Cloud Without Content,Soak,http_req_duration,180.09ms,23.21ms,94.97ms,1m0s,388.92ms,476.66ms,,,,,
Cloud Without Content,Soak,http_req_failed,,,,,,,,,0.00%,21,3150590
Cloud Without Content,Soak,http_req_receiving,1.77ms,0s,677.1µs,995.15ms,4.06ms,6.07ms,,,,,
Cloud Without Content,Soak,http_req_sending,214.79µs,0s,149.4µs,46.18ms,578.79µs,630.29µs,,,,,
Cloud Without Content,Soak,http_req_tls_handshaking,4.22µs,0s,0s,198.93ms,0s,0s,,,,,
Cloud Without Content,Soak,http_req_waiting,178.1ms,22.16ms,92.97ms,1m0s,386.78ms,474.35ms,,,,,
Cloud Without Content,Soak,http_reqs,,,,,,,3150590,164.087653/s,,,
Cloud Without Content,Soak,iteration_duration,1.18s,1.02s,1.09s,1m1s,1.38s,1.47s,,,,,
Cloud Without Content,Soak,iterations,,,,,,,3150590,164.087653/s,,,
Cloud Without Content,Soak,vus,,1,,200,,,1,,,,
Cloud Without Content,Soak,vus_max,,200,,200,,,200,,,,
Cloud Without Content,Spike,data_received,,,,,,,366 MB,,,,
Cloud Without Content,Spike,data_sent,,,,,,,4.3 MB,,,,
Cloud Without Content,Spike,http_req_blocked,465.68µs,0s,0s,217.98ms,0s,0s,,,,,
Cloud Without Content,Spike,http_req_connecting,184.74µs,0s,0s,53.78ms,0s,0s,,,,,
Cloud Without Content,Spike,http_req_duration,1.52s,49.62ms,1.08s,36.33s,2.51s,3.26s,,,,,
Cloud Without Content,Spike,http_req_failed,,,,,,,,,0.00%,4,48638
Cloud Without Content,Spike,http_req_receiving,2.45ms,0s,1.47ms,350.46ms,5.37ms,7.18ms,,,,,
Cloud Without Content,Spike,http_req_sending,176.83µs,0s,129µs,7.65ms,476.3µs,575.51µs,,,,,
Cloud Without Content,Spike,http_req_tls_handshaking,277.87µs,0s,0s,184.2ms,0s,0s,,,,,
Cloud Without Content,Spike,http_req_waiting,1.52s,42.05ms,1.07s,36.33s,2.51s,3.26s,,,,,
Cloud Without Content,Spike,http_reqs,,,,,,,48638,151.786784/s,,,
Cloud Without Content,Spike,iteration_duration,2.52s,1.04s,2.08s,37.55s,3.51s,4.26s,,,,,
Cloud Without Content,Spike,iterations,,,,,,,48638,151.786784/s,,,
Cloud Without Content,Spike,vus,,1,,500,,,2,,,,
Cloud Without Content,Spike,vus_max,,500,,500,,,500,,,,
Cloud Without Content,Stress,data_received,,,,,,,3.9 GB,,,,
Cloud Without Content,Stress,data_sent,,,,,,,44 MB,,,,
Cloud Without Content,Stress,http_req_blocked,48.02µs,0s,0s,164.55ms,0s,0s,,,,,
Cloud Without Content,Stress,http_req_connecting,15.81µs,0s,0s,121.34ms,0s,0s,,,,,
Cloud Without Content,Stress,http_req_duration,626.38ms,32.97ms,437.16ms,4.43s,1.56s,1.93s,,,,,
Cloud Without Content,Stress,http_req_failed,,,,,,,,,0.00%,9,524838
Cloud Without Content,Stress,http_req_receiving,2.22ms,0s,1.15ms,459.6ms,5.1ms,6.93ms,,,,,
Cloud Without Content,Stress,http_req_sending,264.89µs,0s,242.4µs,12.18ms,620.8µs,708.4µs,,,,,
Cloud Without Content,Stress,http_req_tls_handshaking,30.22µs,0s,0s,131.27ms,0s,0s,,,,,
Cloud Without Content,Stress,http_req_waiting,623.9ms,32.73ms,434.58ms,4.43s,1.56s,1.93s,,,,,
Cloud Without Content,Stress,http_reqs,,,,,,,524838,134.550321/s,,,
Cloud Without Content,Stress,iteration_duration,1.62s,1.03s,1.43s,5.43s,2.56s,2.93s,,,,,
Cloud Without Content,Stress,iterations,,,,,,,524838,134.550321/s,,,
Cloud Without Content,Stress,vus,,1,,500,,,1,,,,
Cloud Without Content,Stress,vus_max,,500,,500,,,500,,,,
